flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
36193.304,1290.099,0.01,-44290.304,-1378.638,0.01
51431.906,2886.378,0.01,-29327.268,-2304.079,0.01
30995.381,3961.389,0.01,-49608.685,-1301.783,0.01
25984.112,2439.12,0.01,-50448.582,-1225.0,0.01
22311.45,7565.703,0.01,-58463.546,-467.068,0.01
33054.252,3216.99,0.01,-45207.433,-350.0,0.01
31135.502,5303.897,0.01,-48704.193,-1880.0,0.01
25489.266,4469.453,0.01,-53441.847,-1186.722,0.01
37909.176,3715.351,0.01,-41293.715,-2555.664,0.01
17943.965,12534.964,1.0,-69940.44,-1810.488,0.01
25914.286,7105.548,0.01,-56750.33,-2452.459,0.01
17792.18,6251.694,0.01,-64095.788,-622.094,0.01
26024.154,7810.841,0.01,-57595.526,0.0,0.0
42510.456,2826.206,0.01,-34140.323,-301.4,0.01
41809.804,1465.551,0.01,-33066.705,-193.482,0.01
45192.297,1436.879,0.01,-32597.938,-988.244,0.01
14272.835,4158.968,7.5,-64266.396,0.0,0.0
16523.263,6385.489,3.49,-65189.859,0.0,0.0
32595.529,4042.698,0.01,-49806.189,-2853.614,0.01
42060.982,1536.643,0.01,-46993.181,-12176.369,4.58
48953.885,1853.338,0.01,-35549.298,-9234.625,0.01
40401.279,1802.434,0.01,-38823.601,-2336.665,0.01
60620.655,1011.115,0.01,-20042.976,-5375.051,0.01
24999.24,4066.168,0.01,-53885.513,-2084.213,0.01
34619.94,5568.673,0.01,-47360.773,-2369.321,0.01
38595.427,1022.538,0.01,-43346.231,-6634.792,0.01
32486.17,2220.637,0.01,-45582.846,-612.517,0.01
42203.078,848.228,0.01,-31918.553,-304.187,0.01
41663.131,2073.669,0.01,-33764.47,-179.293,0.01
26889.243,6523.783,2.0,-53916.062,-96.998,0.01
31920.858,5138.14,0.01,-46170.51,-20.44,0.01
27886.658,7117.724,0.01,-52853.974,-869.66,0.01
18356.858,11387.548,0.01,-65789.026,0.0,0.0
15483.14,7919.946,10.0,-68926.78,0.0,0.0
42684.577,959.169,0.01,-36050.231,-2574.929,0.01
49451.405,871.134,0.01,-26784.255,-2536.132,0.01
61797.596,755.0,0.01,-17719.857,-5056.479,0.01
